Title:,"Time Series, Area-Averaged of Chlorophyll a concentration (water only) 8-daily 4 km [MODIS-Aqua (8-daily)"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"124.3,-8.75,127.3,-8.25"
Data Bounding Box:,"124.313,-8.72917,127.271,-8.27084"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=124.3,-8.75,127.3,-8.25&data=MODISA_L3m_CHL_8d_4km_R2022_0_chlor_a&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_CHL_8d_4km_R2022_0_chlor_a):,-32767
,
time, mean_MODISA_L3m_CHL_8d_4km_R2022_0_chlor_a
01/01/19 00:00,0.242437854
09/01/19 00:00,0.209024131
17/01/19 00:00,0.117485389
25/01/19 00:00,0.187870592
02/02/19 00:00,0.266665816
10/02/19 00:00,0.34094277
18/02/19 00:00,0.265081823
26/02/19 00:00,0.270540684
06/03/19 00:00,0.285215199
14/03/19 00:00,0.432052106
22/03/19 00:00,0.668831527
30/03/19 00:00,0.261337042
07/04/19 00:00,0.280181557
15/04/19 00:00,0.244077951
23/04/19 00:00,0.286174744
01/05/19 00:00,0.210367665
09/05/19 00:00,0.34467414
17/05/19 00:00,0.362709314
25/05/19 00:00,0.35948649
02/06/19 00:00,0.421507627
10/06/19 00:00,0.430882066
18/06/19 00:00,0.309837341
26/06/19 00:00,0.311472923
04/07/19 00:00,0.462506562
12/07/19 00:00,0.458289683
20/07/19 00:00,0.535906971
28/07/19 00:00,0.470159799
05/08/19 00:00,0.437945336
13/08/19 00:00,0.498387516
21/08/19 00:00,0.585618436
29/08/19 00:00,0.542554796
06/09/19 00:00,0.627278566
14/09/19 00:00,0.564299762
22/09/19 00:00,0.456772387
30/09/19 00:00,0.505514443
08/10/19 00:00,0.343586832
16/10/19 00:00,0.339996547
24/10/19 00:00,0.266084403
01/11/19 00:00,0.404944599
